Hotel ID,Price,Suggest Selling Price,Checkin,Checkout,Nights,Price per Night,Adults,Children,Median Price per Night,% Off from Median,Total Median Price,Resort,Stars,Distance,Xeni Link,Hotel Name,Amenities,Image URL,URL,Pass
lp37e6a,"$4,211.95 ","$4,116.59 ",2/23/2026,2/28/2026,5,$842.39 ,2,0,$962.89 ,12.51%,4814.45,Beaver Creek,3,5-10 min walk,0,Poste Montane Lodge by East West,"Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/188660809.jpg,https://booking.skizi.co/hotels/lp37e6a?checkin=2026-02-23&checkout=2026-02-28,EPIC
lp28eb77,"$6,492.15 ","$6,584.02 ",3/26/2026,3/31/2026,5,"$1,298.43 ",2,0,"$1,482.39 ",12.41%,7411.95,Zermatt Ski Resort,4,5-10 min walk,0,Chalet Monte Cristo,Ski storage,https://static.cupid.travel/hotels/ex_1ea8b896_z.jpg,https://booking.skizi.co/hotels/lp28eb77?checkin=2026-03-26&checkout=2026-03-31,IKON
lp99023,"$1,688.27 ","$1,595.90 ",3/23/2026,3/28/2026,5,$337.65 ,2,0,$384.79 ,12.25%,1923.95,Niseko United,3,<5 min walk to lifts,0,Niseko Landmark View,Ski storage,https://static.cupid.travel/hotels/581491665.jpg,https://booking.skizi.co/hotels/lp99023?checkin=2026-03-23&checkout=2026-03-28,"Mountain Collective, IKON"
lp61aa7,"$3,615.25 ","$3,987.01 ",3/27/2026,3/31/2026,4,$903.81 ,2,0,"$1,029.79 ",12.23%,4119.16,Deer Valley Resort,3,5-10 min walk,0,Deer Valley's Signature Collection,0,https://snaphotelapi.com/hotels/193372697.jpg,https://booking.skizi.co/hotels/lp61aa7?checkin=2026-03-27&checkout=2026-03-31,IKON
lp65585253,"$5,649.11 ","$7,040.07 ",3/15/2026,3/20/2026,5,"$1,129.82 ",2,0,"$1,286.80 ",12.20%,6434,Telluride Ski Resort,4,5-10min walk,0,Pacific Street Townhome 514b by Avantstay Cute Townhouse in the Heart of Telluride!,0,https://static.cupid.travel/hotels/ex_975fa8b7_z.jpg,https://booking.skizi.co/hotels/lp65585253?checkin=2026-03-15&checkout=2026-03-20,EPIC
lp6558500c,"$3,414.69 ","$4,287.68 ",2/7/2026,2/12/2026,5,$682.94 ,2,0,$777.81 ,12.20%,3889.05,Breckenridge Ski Resort,4,5-10 min walk,0,Rover by Avantstay Beautiful Ski-chalet in Heart of Breckenridge,0,https://static.cupid.travel/hotels/ex_258b94c2_z.jpg,https://booking.skizi.co/hotels/lp6558500c?checkin=2026-02-07&checkout=2026-02-12,EPIC
lp23631,"$1,790.19 ","$1,756.41 ",3/27/2026,3/31/2026,4,$447.55 ,2,0,$509.66 ,12.19%,2038.62,Whistler Blackcomb,5,Slopeside,0,Hilton Whistler Resort & Spa,"Restaurant, Pets allowed, Hot tub/Jacuzzi, Massage, Ski storage",https://static.cupid.travel/hotels/485744802.jpg,https://booking.skizi.co/hotels/lp23631?checkin=2026-03-27&checkout=2026-03-31,EPIC
lp656c78aa,"$2,423.35 ","$2,789.14 ",3/22/2026,3/27/2026,5,$484.67 ,2,0,$550.81 ,12.01%,2754.05,Breckenridge Ski Resort,3,5-10 min walk,0,Motherlode A5,0,https://static.cupid.travel/hotels/ex_bcbab4b1_z.jpg,https://booking.skizi.co/hotels/lp656c78aa?checkin=2026-03-22&checkout=2026-03-27,EPIC
lp6558525d,"$4,945.14 ","$5,024.46 ",3/26/2026,3/31/2026,5,$989.03 ,2,0,"$1,123.19 ",11.94%,5615.95,Telluride Ski Resort,4,5-10min walk,0,Etta Place Too 113 by Avantstay Close to Town & The Slopes! In Complex w/ Communal Pool & Hot Tub,0,https://static.cupid.travel/hotels/ex_01ed18b6_z.jpg,https://booking.skizi.co/hotels/lp6558525d?checkin=2026-03-26&checkout=2026-03-31,EPIC
lp35725,"$2,353.84 ","$2,553.69 ",2/1/2026,2/5/2026,4,$588.46 ,2,0,$667.21 ,11.80%,2668.84,Beaver Creek,4,5-10 min walk,0,"Beaver Creek Lodge, Autograph Collection","Restaurant, Hot tub/Jacuzzi, Ski storage",https://static.cupid.travel/hotels/426577056.jpg,https://booking.skizi.co/hotels/lp35725?checkin=2026-02-01&checkout=2026-02-05,EPIC
